start_date,end_date,resolution,imbalance,system_trend,positive_imbalance_settlement_price,negative_imbalance_settlement_price,missing_data_list,updated_date,partition_day
2025-07-07 21:45:00.0000000 +00:00,2025-07-07 22:00:00.0000000 +00:00,PT15M,136,BAISSE,45.06,48.8,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
2025-07-07 22:00:00.0000000 +00:00,2025-07-07 22:15:00.0000000 +00:00,PT15M,64,BAISSE,19.96,21.62,N/A,2025-07-15 12:25:14.0000000 +00:00,20250708
2025-07-07 22:15:00.0000000 +00:00,2025-07-07 22:30:00.0000000 +00:00,PT15M,219,BAISSE,8.38,9.08,N/A,2025-07-15 12:25:14.0000000 +00:00,20250708
2025-07-07 22:30:00.0000000 +00:00,2025-07-07 22:45:00.0000000 +00:00,PT15M,611,BAISSE,-77.82,-71.86,N/A,2025-07-09 09:49:35.0000000 +00:00,20250708
2025-07-07 22:45:00.0000000 +00:00,2025-07-07 23:00:00.0000000 +00:00,PT15M,88,BAISSE,-57.02,-52.66,N/A,2025-07-15 12:25:14.0000000 +00:00,20250708
2025-07-07 23:00:00.0000000 +00:00,2025-07-07 23:15:00.0000000 +00:00,PT15M,408,BAISSE,-7.44,-6.88,N/A,2025-07-15 12:25:14.0000000 +00:00,20250708
2025-07-07 23:15:00.0000000 +00:00,2025-07-07 23:30:00.0000000 +00:00,PT15M,568,BAISSE,-7.9,-7.3,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-07 23:30:00.0000000 +00:00,2025-07-07 23:45:00.0000000 +00:00,PT15M,433,BAISSE,1.11,1.21,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-07 23:45:00.0000000 +00:00,2025-07-08 00:00:00.0000000 +00:00,PT15M,378,BAISSE,-8.12,-7.5,N/A,2025-07-09 09:49:35.0000000 +00:00,20250708
2025-07-08 00:00:00.0000000 +00:00,2025-07-08 00:15:00.0000000 +00:00,PT15M,431,BAISSE,1.63,1.77,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 00:15:00.0000000 +00:00,2025-07-08 00:30:00.0000000 +00:00,PT15M,593,BAISSE,-3.59,-3.31,N/A,2025-07-09 09:49:35.0000000 +00:00,20250708
2025-07-08 00:30:00.0000000 +00:00,2025-07-08 00:45:00.0000000 +00:00,PT15M,411,BAISSE,3.41,3.69,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 00:45:00.0000000 +00:00,2025-07-08 01:00:00.0000000 +00:00,PT15M,409,BAISSE,-0.11,-0.11,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 01:00:00.0000000 +00:00,2025-07-08 01:15:00.0000000 +00:00,PT15M,354,BAISSE,-7.63,-7.05,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 01:15:00.0000000 +00:00,2025-07-08 01:30:00.0000000 +00:00,PT15M,194,BAISSE,-14.7,-13.58,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 01:30:00.0000000 +00:00,2025-07-08 01:45:00.0000000 +00:00,PT15M,173,BAISSE,-18.24,-16.84,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 01:45:00.0000000 +00:00,2025-07-08 02:00:00.0000000 +00:00,PT15M,155,BAISSE,-18.24,-16.84,N/A,2025-07-09 09:49:36.0000000 +00:00,20250708
2025-07-08 02:00:00.0000000 +00:00,2025-07-08 02:15:00.0000000 +00:00,PT15M,66,BAISSE,-48.88,-45.14,N/A,2025-07-10 09:37:22.0000000 +00:00,20250708
2025-07-08 02:15:00.0000000 +00:00,2025-07-08 02:30:00.0000000 +00:00,PT15M,115,BAISSE,-41.07,-37.93,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 02:30:00.0000000 +00:00,2025-07-08 02:45:00.0000000 +00:00,PT15M,39,BAISSE,-17.45,-16.11,N/A,2025-07-15 12:25:15.0000000 +00:00,20250708
2025-07-08 02:45:00.0000000 +00:00,2025-07-08 03:00:00.0000000 +00:00,PT15M,77,BAISSE,-17.45,-16.11,N/A,2025-07-09 09:49:36.0000000 +00:00,20250708
2025-07-08 03:00:00.0000000 +00:00,2025-07-08 03:15:00.0000000 +00:00,PT15M,170,BAISSE,-3.74,-3.46,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 03:15:00.0000000 +00:00,2025-07-08 03:30:00.0000000 +00:00,PT15M,140,BAISSE,-4,-3.7,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 03:30:00.0000000 +00:00,2025-07-08 03:45:00.0000000 +00:00,PT15M,129,BAISSE,-4.59,-4.23,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 03:45:00.0000000 +00:00,2025-07-08 04:00:00.0000000 +00:00,PT15M,234,BAISSE,-4.4,-4.06,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 04:00:00.0000000 +00:00,2025-07-08 04:15:00.0000000 +00:00,PT15M,338,BAISSE,5.93,6.43,N/A,2025-07-09 09:49:37.0000000 +00:00,20250708
2025-07-08 04:15:00.0000000 +00:00,2025-07-08 04:30:00.0000000 +00:00,PT15M,176,BAISSE,3.31,3.59,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 04:30:00.0000000 +00:00,2025-07-08 04:45:00.0000000 +00:00,PT15M,130,BAISSE,2.38,2.58,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 04:45:00.0000000 +00:00,2025-07-08 05:00:00.0000000 +00:00,PT15M,-8,HAUSSE,165.43,179.15,N/A,2025-07-09 09:49:37.0000000 +00:00,20250708
2025-07-08 05:00:00.0000000 +00:00,2025-07-08 05:15:00.0000000 +00:00,PT15M,133,BAISSE,7.07,7.65,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 05:15:00.0000000 +00:00,2025-07-08 05:30:00.0000000 +00:00,PT15M,92,BAISSE,-0.85,-0.79,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 05:30:00.0000000 +00:00,2025-07-08 05:45:00.0000000 +00:00,PT15M,18,BAISSE,-1.8,-1.66,N/A,2025-07-09 09:49:37.0000000 +00:00,20250708
2025-07-08 05:45:00.0000000 +00:00,2025-07-08 06:00:00.0000000 +00:00,PT15M,-24,HAUSSE,37.71,40.83,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 06:00:00.0000000 +00:00,2025-07-08 06:15:00.0000000 +00:00,PT15M,-243,HAUSSE,145.19,157.23,N/A,2025-07-09 09:49:37.0000000 +00:00,20250708
2025-07-08 06:15:00.0000000 +00:00,2025-07-08 06:30:00.0000000 +00:00,PT15M,-238,HAUSSE,46.81,50.69,N/A,2025-07-15 12:25:16.0000000 +00:00,20250708
2025-07-08 06:30:00.0000000 +00:00,2025-07-08 06:45:00.0000000 +00:00,PT15M,-182,HAUSSE,-10.34,-9.54,N/A,2025-07-15 12:25:17.0000000 +00:00,20250708
